Name,Author,User Rating,Reviews,Price,Year,Genre,Price Category,Popularidad,Años en Top,Author Frequency,Rating Category,Rating x Review,Log Reviews
Gone Girl,Gillian Flynn,4.0,57271,9,2014,Fiction,Barato,Muy alta,3,3,Regular,229084.0,10.955567127076021
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction,Barato,Media,1,1,Bueno,46648.6,9.224440496354964
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction,Intermedio,Baja,4,4,Bueno,15556.5,8.148445666243235
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction,Intermedio,Baja,4,4,Bueno,15556.5,8.148445666243235
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction,Intermedio,Baja,4,4,Bueno,15556.5,8.148445666243235
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,Intermedio,Baja,4,4,Bueno,15556.5,8.148445666243235
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction,Barato,Media,3,3,Excelente,42417.6,9.086815885690685
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Fiction,Barato,Media,3,3,Excelente,42417.6,9.086815885690685
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction,Barato,Media,3,3,Excelente,42417.6,9.086815885690685
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,Barato,Media,2,2,Excelente,34486.200000000004,8.85922139360813
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,Barato,Media,2,2,Excelente,34486.200000000004,8.85922139360813
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,Intermedio,Media,1,1,Bueno,27471.199999999997,8.695004592732307
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,Intermedio,Muy alta,1,6,Regular,112745.6,10.151323716440709
Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,Barato,Media,1,1,Excelente,26284.8,8.608312784783722
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction,Caro,Media,1,1,Excelente,28748.300000000003,8.677269139262872
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,Intermedio,Media,1,1,Excelente,19910.399999999998,8.330622620332868
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,Caro,Alta,1,6,Excelente,96147.8,9.884457626629322
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973,12,2016,Fiction,Intermedio,Alta,1,6,Regular,95892.0,10.084725188767045
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction,Intermedio,Media,1,2,Excelente,38014.200000000004,8.95660873889395
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,Caro,Baja,1,6,Excelente,15415.400000000001,8.054204897064407
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,Caro,Media,1,6,Excelente,49254.8,9.215626376405421
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,Barato,Baja,1,2,Bueno,16750.8,8.178919332848396
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,Caro,Media,1,2,Excelente,64660.799999999996,9.508368736482108
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,Non Fiction,Barato,Baja,1,1,Excelente,9264.0,7.565793282428515
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,Intermedio,Media,2,2,Bueno,74161.3,9.666498594399865
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,Intermedio,Media,2,2,Bueno,74161.3,9.666498594399865
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,Intermedio,Media,2,2,Regular,68314.40000000001,9.65033572298117
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,Intermedio,Media,2,2,Regular,68314.40000000001,9.65033572298117
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Non Fiction,Caro,Baja,1,2,Excelente,18124.8,8.236685322712457
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Non Fiction,Intermedio,Muy alta,5,5,Bueno,117504.70000000001,10.126711100650509
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Non Fiction,Intermedio,Muy alta,5,5,Bueno,117504.70000000001,10.126711100650509
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Non Fiction,Intermedio,Muy alta,5,5,Bueno,117504.70000000001,10.126711100650509
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Non Fiction,Intermedio,Muy alta,5,5,Bueno,117504.70000000001,10.126711100650509
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018,Non Fiction,Intermedio,Muy alta,5,5,Bueno,117504.70000000001,10.126711100650509
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction,Intermedio,Media,1,1,Regular,22669.6,8.57035473953047
Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction,Intermedio,Baja,2,3,Excelente,16752.0,8.157943507105037
Humans of New York,Brandon Stanton,4.8,3490,15,2014,Non Fiction,Intermedio,Baja,2,3,Excelente,16752.0,8.157943507105037
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction,Intermedio,Baja,1,3,Excelente,13778.800000000001,7.9420068084898565
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction,Intermedio,Media,1,1,Bueno,23011.2,8.496378051702317
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction,Barato,Media,1,1,Excelente,46737.6,9.183791036742646
"I, Alex Cross",James Patterson,4.6,1320,7,2009,Fiction,Barato,Baja,1,2,Bueno,6071.999999999999,7.186144304522325
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Fiction,Barato,Media,2,2,Excelente,79886.4,9.719805070102831
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Fiction,Barato,Media,2,2,Excelente,79886.4,9.719805070102831
If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction,Barato,Media,1,1,Regular,30757.899999999998,8.875426919818963
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction,Caro,Media,1,1,Regular,20112.4,8.427706024914702
Inferno,Dan Brown,4.1,29651,14,2013,Fiction,Intermedio,Muy alta,1,3,Regular,121569.09999999999,10.29728485577661
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fiction,Intermedio,Media,1,1,Bueno,24375.399999999998,8.575462099540212
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,Non Fiction,Intermedio,Media,2,2,Regular,32542.4,8.908829791587868
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2018,Non Fiction,Intermedio,Media,2,2,Regular,32542.4,8.908829791587868
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Non Fiction,Intermedio,Media,1,2,Excelente,33897.6,8.862625169408922
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction,Barato,Alta,6,6,Excelente,95922.40000000001,9.882110686776542
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction,Barato,Alta,6,6,Excelente,95922.40000000001,9.882110686776542
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,Barato,Alta,6,6,Excelente,95922.40000000001,9.882110686776542
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction,Barato,Alta,6,6,Excelente,95922.40000000001,9.882110686776542
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction,Barato,Alta,6,6,Excelente,95922.40000000001,9.882110686776542
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction,Barato,Alta,6,6,Excelente,95922.40000000001,9.882110686776542
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction,Barato,Baja,1,2,Bueno,4498.799999999999,6.88653164253051
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,Intermedio,Media,1,4,Bueno,21366.0,8.465689348549121
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Non Fiction,Intermedio,Media,1,1,Bueno,38607.799999999996,9.035272443893536
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction,Intermedio,Media,1,7,Bueno,51259.5,9.340666633651757
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction,Caro,Media,1,7,Bueno,39716.399999999994,9.06357899058078
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction,Intermedio,Media,2,7,Bueno,43907.4,9.142382678792956
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction,Intermedio,Media,2,7,Bueno,43907.4,9.142382678792956
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction,Barato,Media,1,7,Bueno,50264.2,9.29908358181057
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction,Barato,Media,1,7,Bueno,24080.999999999996,8.56331312702979
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction,Barato,Media,1,7,Excelente,42796.799999999996,9.095714846134879
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction,Barato,Baja,1,1,Excelente,12033.6,7.827240901752812
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,Barato,Baja,3,8,Bueno,16528.5,8.20903626577507
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,Barato,Baja,3,8,Bueno,16528.5,8.20903626577507
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,Barato,Baja,3,8,Bueno,16528.5,8.20903626577507
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Fiction,Intermedio,Media,1,1,Excelente,58216.9,9.382779928915687
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,Barato,Media,5,8,Bueno,32153.999999999996,8.852378886511985
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,Barato,Media,5,8,Bueno,32153.999999999996,8.852378886511985
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,Barato,Media,5,8,Bueno,32153.999999999996,8.852378886511985
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,Barato,Media,5,8,Bueno,32153.999999999996,8.852378886511985
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,Barato,Media,5,8,Bueno,32153.999999999996,8.852378886511985
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,Intermedio,Media,1,2,Bueno,27594.0,8.721439305625983
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,Caro,Baja,1,3,Bueno,13563.0,8.011355109161286
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,Barato,Media,1,1,Regular,33220.0,8.929435283803425
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Non Fiction,Intermedio,Baja,1,2,Excelente,18374.399999999998,8.250358951477294
Life,Keith Richards,4.5,2752,18,2010,Non Fiction,Intermedio,Baja,1,1,Bueno,12384.0,7.920446505142607
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,Intermedio,Baja,1,1,Regular,6014.7,7.291656209174461
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,Barato,Baja,1,1,Excelente,9231.6,7.541683099882111
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction,Intermedio,Muy alta,1,1,Bueno,115677.0,10.154518607337229
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,Barato,Media,1,5,Bueno,38209.5,9.046879822823147
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,Intermedio,Baja,1,1,Regular,6925.8,7.408530566894626
Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,Barato,Alta,2,2,Excelente,89342.4,9.831669264745656
Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,Barato,Alta,2,2,Excelente,89342.4,9.831669264745656
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction,Intermedio,Media,1,2,Excelente,47361.6,9.197052477649247
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,Intermedio,Baja,1,3,Bueno,6237.0,7.234898420314831
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,Intermedio,Media,1,1,Bueno,47935.3,9.230142999272362
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Non Fiction,Caro,Baja,1,1,Excelente,14044.8,7.9817332866918855
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,Barato,Alta,3,4,Bueno,83373.3,9.78357725586357
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,Barato,Alta,3,4,Bueno,83373.3,9.78357725586357
Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,Barato,Alta,3,4,Bueno,83373.3,9.78357725586357
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,Barato,Baja,1,1,Regular,13697.2,8.043663352393944
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction,Intermedio,Media,3,3,Bueno,25493.199999999997,8.620291149419804
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction,Intermedio,Media,3,3,Bueno,25493.199999999997,8.620291149419804
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,Intermedio,Media,3,3,Bueno,25493.199999999997,8.620291149419804
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,Barato,Muy alta,3,11,Bueno,120334.5,10.193990642174612
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,Barato,Muy alta,3,11,Bueno,120334.5,10.193990642174612
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,Barato,Muy alta,3,11,Bueno,120334.5,10.193990642174612
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction,Intermedio,Media,1,1,Excelente,25665.6,8.584477938221834
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction,Intermedio,Media,1,1,Excelente,37756.799999999996,8.970432074329242
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction,Intermedio,Media,1,7,Bueno,26127.999999999996,8.644882552557126
Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,Barato,Media,1,1,Bueno,24336.600000000002,8.552367266423891
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,Intermedio,Media,1,1,Bueno,37227.799999999996,8.998878325435811
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,Caro,Baja,1,1,Excelente,15640.800000000001,8.068716192714781
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,Barato,Alta,8,9,Excelente,106986.6,9.991269465919661
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,Barato,Alta,8,9,Excelente,106986.6,9.991269465919661
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,Barato,Alta,8,9,Excelente,106986.6,9.991269465919661
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,Barato,Alta,8,9,Excelente,106986.6,9.991269465919661
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,Barato,Alta,8,9,Excelente,106986.6,9.991269465919661
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,Barato,Alta,8,9,Excelente,106986.6,9.991269465919661
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction,Barato,Alta,8,9,Excelente,106986.6,9.991269465919661
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,Barato,Alta,8,9,Excelente,106986.6,9.991269465919661
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,Barato,Media,1,12,Excelente,29611.199999999997,8.727454116899434
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction,Intermedio,Media,1,1,Regular,18979.8,8.416267272826277
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Non Fiction,Intermedio,Baja,2,2,Bueno,14549.8,8.059592328887545
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Non Fiction,Intermedio,Baja,2,2,Bueno,14549.8,8.059592328887545
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction,Barato,Baja,1,2,Bueno,8239.5,7.513163545234075
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction,Intermedio,Alta,1,3,Regular,81287.2,9.847181716325034
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction,Intermedio,Alta,1,1,Bueno,100877.99999999999,9.995656440007505
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2009,Non Fiction,Intermedio,Media,2,4,Bueno,47959.6,9.252153874789594
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2010,Non Fiction,Intermedio,Media,2,4,Bueno,47959.6,9.252153874789594
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,Non Fiction,Barato,Media,2,2,Bueno,50854.0,9.289243969571649
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2019,Non Fiction,Barato,Media,2,2,Bueno,50854.0,9.289243969571649
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,Fiction,Barato,Baja,1,11,Excelente,2630.4,6.3080984415095305
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,Fiction,Caro,Media,3,3,Excelente,81552.0,9.740439071085758
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2018,Fiction,Caro,Media,3,3,Excelente,81552.0,9.740439071085758
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Fiction,Caro,Media,3,3,Excelente,81552.0,9.740439071085758
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,Fiction,Barato,Baja,1,2,Bueno,16464.100000000002,8.161660452056282
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Non Fiction,Intermedio,Media,2,2,Regular,58548.799999999996,9.519074291124575
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction,Intermedio,Media,2,2,Regular,58548.799999999996,9.519074291124575
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2009,Non Fiction,Caro,Media,10,10,Bueno,38610.0,9.057305735807121
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2010,Non Fiction,Caro,Media,10,10,Bueno,38610.0,9.057305735807121
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2011,Non Fiction,Caro,Media,10,10,Bueno,38610.0,9.057305735807121
